"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Get file","LMS service","2026-07-13","passed","2026-07-13","Get entity","Files","",""
"","572","Get exercise","LMS service","2026-07-13","passed","2026-07-13","Get entity","Exercises","",""
"","75","Update course","LMS service","2026-07-13","passed","2026-07-13","Update entity","Courses","",""
"","271","Create file with empty filename","LMS service","2026-07-13","passed","2026-07-13","Validate entity","Files","",""
"","276","Create file","LMS service","2026-07-13","passed","2026-07-13","Create entity","Files","",""
"","51","Create course","LMS service","2026-07-13","passed","2026-07-13","Create entity","Courses","",""
"","269","Get user me","LMS service","2026-07-13","passed","2026-07-13","Get entity","Users","",""
"","806","Create user","LMS service","2026-07-13","passed","2026-07-13","Create entity","Users","",""
"","321","Delete exercise","LMS service","2026-07-13","passed","2026-07-13","Delete entity","Exercises","",""
"","305","Update exercise","LMS service","2026-07-13","passed","2026-07-13","Update entity","Exercises","",""
"","553","Create user","LMS service","2026-07-13","passed","2026-07-13","Create entity","Users","",""
"","55","Get courses","LMS service","2026-07-13","passed","2026-07-13","Get entities","Courses","",""
"","275","Create file with empty directory","LMS service","2026-07-13","passed","2026-07-13","Validate entity","Files","",""
"","20","Get file with incorrect file id","LMS service","2026-07-13","passed","2026-07-13","Validate entity","Files","",""
"","37","Delete file","LMS service","2026-07-13","passed","2026-07-13","Delete entity","Files","",""
"","576","Create exercise","LMS service","2026-07-13","passed","2026-07-13","Create entity","Exercises","",""
"","561","Login with correct email and password","LMS service","2026-07-13","passed","2026-07-13","Login","Authentication","",""
"","572","Get exercises","LMS service","2026-07-13","passed","2026-07-13","Get entities","Exercises","",""
"","828","Create user","LMS service","2026-07-13","passed","2026-07-13","Create entity","Users","",""
