"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","Get exercise","LMS service","2026-07-15","passed","2026-07-15","Get entity","Exercises","",""
"","323","Update course","LMS service","2026-07-15","passed","2026-07-15","Update entity","Courses","",""
"","565","Update exercise","LMS service","2026-07-15","passed","2026-07-15","Update entity","Exercises","",""
"","24","Delete exercise","LMS service","2026-07-15","passed","2026-07-15","Delete entity","Exercises","",""
"","305","Create exercise","LMS service","2026-07-15","passed","2026-07-15","Create entity","Exercises","",""
"","18","Get file","LMS service","2026-07-15","passed","2026-07-15","Get entity","Files","",""
"","792","Create user","LMS service","2026-07-15","passed","2026-07-15","Create entity","Users","",""
"","27","Get exercises","LMS service","2026-07-15","passed","2026-07-15","Get entities","Exercises","",""
"","530","Create file with empty directory","LMS service","2026-07-15","passed","2026-07-15","Validate entity","Files","",""
"","36","Delete file","LMS service","2026-07-15","passed","2026-07-15","Delete entity","Files","",""
"","328","Create course","LMS service","2026-07-15","passed","2026-07-15","Create entity","Courses","",""
"","562","Get file with incorrect file id","LMS service","2026-07-15","passed","2026-07-15","Validate entity","Files","",""
"","528","Create user","LMS service","2026-07-15","passed","2026-07-15","Create entity","Users","",""
"","288","Login with correct email and password","LMS service","2026-07-15","passed","2026-07-15","Login","Authentication","",""
"","577","Create file with empty filename","LMS service","2026-07-15","passed","2026-07-15","Validate entity","Files","",""
"","30","Create file","LMS service","2026-07-15","passed","2026-07-15","Create entity","Files","",""
"","264","Get user me","LMS service","2026-07-15","passed","2026-07-15","Get entity","Users","",""
"","589","Get courses","LMS service","2026-07-15","passed","2026-07-15","Get entities","Courses","",""
"","543","Create user","LMS service","2026-07-15","passed","2026-07-15","Create entity","Users","",""
