"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Get exercises","LMS service","2026-07-07","passed","2026-07-07","Get entities","Exercises","",""
"","30","Create file","LMS service","2026-07-07","passed","2026-07-07","Create entity","Files","",""
"","12","Get user me","LMS service","2026-07-07","passed","2026-07-07","Get entity","Users","",""
"","315","Create course","LMS service","2026-07-07","passed","2026-07-07","Create entity","Courses","",""
"","28","Delete file","LMS service","2026-07-07","passed","2026-07-07","Delete entity","Files","",""
"","553","Create user","LMS service","2026-07-07","passed","2026-07-07","Create entity","Users","",""
"","20","Get file with incorrect file id","LMS service","2026-07-07","passed","2026-07-07","Validate entity","Files","",""
"","27","Update exercise","LMS service","2026-07-07","passed","2026-07-07","Update entity","Exercises","",""
"","549","Create file with empty directory","LMS service","2026-07-07","passed","2026-07-07","Validate entity","Files","",""
"","16","Get file","LMS service","2026-07-07","passed","2026-07-07","Get entity","Files","",""
"","536","Create user","LMS service","2026-07-07","passed","2026-07-07","Create entity","Users","",""
"","573","Create exercise","LMS service","2026-07-07","passed","2026-07-07","Create entity","Exercises","",""
"","55","Update course","LMS service","2026-07-07","passed","2026-07-07","Update entity","Courses","",""
"","1114","Create user","LMS service","2026-07-07","passed","2026-07-07","Create entity","Users","",""
"","29","Get courses","LMS service","2026-07-07","passed","2026-07-07","Get entities","Courses","",""
"","28","Get exercise","LMS service","2026-07-07","passed","2026-07-07","Get entity","Exercises","",""
"","552","Login with correct email and password","LMS service","2026-07-07","passed","2026-07-07","Login","Authentication","",""
"","273","Create file with empty filename","LMS service","2026-07-07","passed","2026-07-07","Validate entity","Files","",""
"","33","Delete exercise","LMS service","2026-07-07","passed","2026-07-07","Delete entity","Exercises","",""
