"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Update exercise","LMS service","2026-07-07","passed","2026-07-07","Update entity","Exercises","",""
"","471","Create file with empty directory","LMS service","2026-07-07","passed","2026-07-07","Validate entity","Files","",""
"","498","Create file with empty filename","LMS service","2026-07-07","passed","2026-07-07","Validate entity","Files","",""
"","17","Get exercises","LMS service","2026-07-07","passed","2026-07-07","Get entities","Exercises","",""
"","717","Create user","LMS service","2026-07-07","passed","2026-07-07","Create entity","Users","",""
"","465","Create user","LMS service","2026-07-07","passed","2026-07-07","Create entity","Users","",""
"","276","Create course","LMS service","2026-07-07","passed","2026-07-07","Create entity","Courses","",""
"","265","Create user","LMS service","2026-07-07","passed","2026-07-07","Create entity","Users","",""
"","17","Delete file","LMS service","2026-07-07","passed","2026-07-07","Delete entity","Files","",""
"","19","Get exercise","LMS service","2026-07-07","passed","2026-07-07","Get entity","Exercises","",""
"","259","Create exercise","LMS service","2026-07-07","passed","2026-07-07","Create entity","Exercises","",""
"","275","Update course","LMS service","2026-07-07","passed","2026-07-07","Update entity","Courses","",""
"","9","Get file with incorrect file id","LMS service","2026-07-07","passed","2026-07-07","Validate entity","Files","",""
"","249","Login with correct email and password","LMS service","2026-07-07","passed","2026-07-07","Login","Authentication","",""
"","491","Get courses","LMS service","2026-07-07","passed","2026-07-07","Get entities","Courses","",""
"","25","Create file","LMS service","2026-07-07","passed","2026-07-07","Create entity","Files","",""
"","26","Delete exercise","LMS service","2026-07-07","passed","2026-07-07","Delete entity","Exercises","",""
"","12","Get file","LMS service","2026-07-07","passed","2026-07-07","Get entity","Files","",""
"","9","Get user me","LMS service","2026-07-07","passed","2026-07-07","Get entity","Users","",""
