"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","526","Login with correct email and password","LMS service","2026-07-13","passed","2026-07-13","Login","Authentication","",""
"","18","Get file","LMS service","2026-07-13","passed","2026-07-13","Get entity","Files","",""
"","293","Get exercise","LMS service","2026-07-13","passed","2026-07-13","Get entity","Exercises","",""
"","283","Update exercise","LMS service","2026-07-13","passed","2026-07-13","Update entity","Exercises","",""
"","793","Create user","LMS service","2026-07-13","passed","2026-07-13","Create entity","Users","",""
"","13","Get file with incorrect file id","LMS service","2026-07-13","passed","2026-07-13","Validate entity","Files","",""
"","288","Create exercise","LMS service","2026-07-13","passed","2026-07-13","Create entity","Exercises","",""
"","294","Delete exercise","LMS service","2026-07-13","passed","2026-07-13","Delete entity","Exercises","",""
"","12","Get user me","LMS service","2026-07-13","passed","2026-07-13","Get entity","Users","",""
"","291","Get courses","LMS service","2026-07-13","passed","2026-07-13","Get entities","Courses","",""
"","487","Create user","LMS service","2026-07-13","passed","2026-07-13","Create entity","Users","",""
"","37","Update course","LMS service","2026-07-13","passed","2026-07-13","Update entity","Courses","",""
"","32","Delete file","LMS service","2026-07-13","passed","2026-07-13","Delete entity","Files","",""
"","312","Create course","LMS service","2026-07-13","passed","2026-07-13","Create entity","Courses","",""
"","522","Create file","LMS service","2026-07-13","passed","2026-07-13","Create entity","Files","",""
"","514","Create file with empty filename","LMS service","2026-07-13","passed","2026-07-13","Validate entity","Files","",""
"","794","Create user","LMS service","2026-07-13","passed","2026-07-13","Create entity","Users","",""
"","529","Create file with empty directory","LMS service","2026-07-13","passed","2026-07-13","Validate entity","Files","",""
"","22","Get exercises","LMS service","2026-07-13","passed","2026-07-13","Get entities","Exercises","",""
