"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","730","Login with correct email and password","LMS service","2026-07-07","passed","2026-07-07","Login","Authentication","",""
"","48","Get courses","LMS service","2026-07-07","passed","2026-07-07","Get entities","Courses","",""
"","13","Get user me","LMS service","2026-07-07","passed","2026-07-07","Get entity","Users","",""
"","380","Get file","LMS service","2026-07-07","passed","2026-07-07","Get entity","Files","",""
"","51","Create course","LMS service","2026-07-07","passed","2026-07-07","Create entity","Courses","",""
"","35","Delete file","LMS service","2026-07-07","passed","2026-07-07","Delete entity","Files","",""
"","706","Create file with empty filename","LMS service","2026-07-07","passed","2026-07-07","Validate entity","Files","",""
"","19","Get file with incorrect file id","LMS service","2026-07-07","passed","2026-07-07","Validate entity","Files","",""
"","703","Create user","LMS service","2026-07-07","passed","2026-07-07","Create entity","Users","",""
"","719","Create file with empty directory","LMS service","2026-07-07","passed","2026-07-07","Validate entity","Files","",""
"","1053","Create user","LMS service","2026-07-07","passed","2026-07-07","Create entity","Users","",""
"","365","Create file","LMS service","2026-07-07","passed","2026-07-07","Create entity","Files","",""
"","381","Update exercise","LMS service","2026-07-07","passed","2026-07-07","Update entity","Exercises","",""
"","376","Get exercise","LMS service","2026-07-07","passed","2026-07-07","Get entity","Exercises","",""
"","1073","Create user","LMS service","2026-07-07","passed","2026-07-07","Create entity","Users","",""
"","34","Delete exercise","LMS service","2026-07-07","passed","2026-07-07","Delete entity","Exercises","",""
"","379","Get exercises","LMS service","2026-07-07","passed","2026-07-07","Get entities","Exercises","",""
"","402","Update course","LMS service","2026-07-07","passed","2026-07-07","Update entity","Courses","",""
"","747","Create exercise","LMS service","2026-07-07","passed","2026-07-07","Create entity","Exercises","",""
